,SR,N1,D2,D1
7,0,0,0.00,0.16
4.5,0,0,0.00,0.00
6,0,0.055873725,0.53,0.81
3,1.497005988,0.502863528,5.07,27.18
0.8,8.982035928,3.017181171,2.67,1.95
1.2,27.24550898,13.40969409,22.67,6.35
2.4,2.395209581,2.514317642,0.00,5.04
2.8,0.299401198,0.335242352,1.33,8.62
1.2,3.293413174,5.699119989,6.40,4.88
1.2,5.988023952,8.381058807,1.07,6.02
1.1,5.089820359,3.017181171,2.13,3.09
0.8,21.55688623,6.704847046,8.53,10.09
0.6,1.796407186,6.53722587,5.33,11.23
6,2.095808383,0.335242352,0.27,1.14
0.9,0,0,0.00,0.98
3,1.796407186,0.838105881,1.33,0.01
12,0,0.020957038,0.00,0.98
3.1,0,0,0.00,0.03
3.1,0,0,0.27,0.04
5,0,0,0.00,1.46
0.25,7.185628743,0.167621176,5.07,1.63
0.5,8.383233533,44.41961168,33.60,2.93
0.7,0.898203593,1.340969409,2.93,0.65
0.2,1.19760479,1.843832938,0.53,1.63
1,0.299401198,0.838105881,0.27,3.09
,0,0,1.83,0.00
